date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:12:22	21803/21803	---M--	200	added ('OK')	text/css	date:Fri,%2014%20Apr%202023%2011:55:36%20GMT	https://www.ebd114nxt.co.in/css/style.css	C:/My%20Web%20Sites/emmar/www.ebd114nxt.co.in/css/style.css	(from https://www.ebd114nxt.co.in/?utm_source=Digital&utm_medium=Search&utm_campaign=EBD114NXT/Propstory/Google2&utm_campaign_code=EBD114NXTPSG2&gclid=CjwKCAjw__ihBhADEiwAXEazJkJR5z_0QUWktK9rhY6MvlPDzvNr1acdzmF7JcRTSdxUBHQ13Q2OxBoCL3IQAvD_BwE)
17:12:22	822140/822140	---M--	200	added ('OK')	image/jpeg	date:Thu,%2015%20Sep%202022%2011:29:16%20GMT	https://www.ebd114.co.in/images/Home-page-1.jpg	C:/My%20Web%20Sites/emmar/www.ebd114.co.in/images/Home-page-1.jpg	(from https://www.ebd114nxt.co.in/?utm_source=Digital&utm_medium=Search&utm_campaign=EBD114NXT/Propstory/Google2&utm_campaign_code=EBD114NXTPSG2&gclid=CjwKCAjw__ihBhADEiwAXEazJkJR5z_0QUWktK9rhY6MvlPDzvNr1acdzmF7JcRTSdxUBHQ13Q2OxBoCL3IQAvD_BwE)
17:12:22	5541/5541	---M--	200	added ('OK')	text/css	date:Fri,%2014%20Apr%202023%2012:00:19%20GMT	https://www.ebd114nxt.co.in/css/responsive.css	C:/My%20Web%20Sites/emmar/www.ebd114nxt.co.in/css/responsive.css	(from https://www.ebd114nxt.co.in/?utm_source=Digital&utm_medium=Search&utm_campaign=EBD114NXT/Propstory/Google2&utm_campaign_code=EBD114NXTPSG2&gclid=CjwKCAjw__ihBhADEiwAXEazJkJR5z_0QUWktK9rhY6MvlPDzvNr1acdzmF7JcRTSdxUBHQ13Q2OxBoCL3IQAvD_BwE)
17:12:23	109663/109663	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2018%20Apr%202023%2011:42:32%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/emmar/connect.facebook.net/en_US/fbevents.js	(from https://www.ebd114nxt.co.in/?utm_source=Digital&utm_medium=Search&utm_campaign=EBD114NXT/Propstory/Google2&utm_campaign_code=EBD114NXTPSG2&gclid=CjwKCAjw__ihBhADEiwAXEazJkJR5z_0QUWktK9rhY6MvlPDzvNr1acdzmF7JcRTSdxUBHQ13Q2OxBoCL3IQAvD_BwE)
17:12:23	236/236	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20Apr%202023%2011:41:54%20GMT	https://www.ebd114nxt.co.in/index.php	C:/My%20Web%20Sites/emmar/www.ebd114nxt.co.in/index.php	(from https://www.ebd114nxt.co.in/?utm_source=Digital&utm_medium=Search&utm_campaign=EBD114NXT/Propstory/Google2&utm_campaign_code=EBD114NXTPSG2&gclid=CjwKCAjw__ihBhADEiwAXEazJkJR5z_0QUWktK9rhY6MvlPDzvNr1acdzmF7JcRTSdxUBHQ13Q2OxBoCL3IQAvD_BwE)
17:12:23	4779/4779	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2008%20Sep%202022%2009:30:56%20GMT	https://www.ebd114nxt.co.in/images/emaar-india.svg	C:/My%20Web%20Sites/emmar/www.ebd114nxt.co.in/images/emaar-india.svg	(from https://www.ebd114nxt.co.in/?utm_source=Digital&utm_medium=Search&utm_campaign=EBD114NXT/Propstory/Google2&utm_campaign_code=EBD114NXTPSG2&gclid=CjwKCAjw__ihBhADEiwAXEazJkJR5z_0QUWktK9rhY6MvlPDzvNr1acdzmF7JcRTSdxUBHQ13Q2OxBoCL3IQAvD_BwE)
17:12:23	726/726	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2016%20Sep%202022%2010:19:30%20GMT	https://www.ebd114nxt.co.in/images/call.svg	C:/My%20Web%20Sites/emmar/www.ebd114nxt.co.in/images/call.svg	(from https://www.ebd114nxt.co.in/?utm_source=Digital&utm_medium=Search&utm_campaign=EBD114NXT/Propstory/Google2&utm_campaign_code=EBD114NXTPSG2&gclid=CjwKCAjw__ihBhADEiwAXEazJkJR5z_0QUWktK9rhY6MvlPDzvNr1acdzmF7JcRTSdxUBHQ13Q2OxBoCL3IQAvD_BwE)
17:12:23	13952/13952	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2015%20Sep%202022%2010:09:48%20GMT	https://www.ebd114nxt.co.in/images/ebd114.svg	C:/My%20Web%20Sites/emmar/www.ebd114nxt.co.in/images/ebd114.svg	(from https://www.ebd114nxt.co.in/?utm_source=Digital&utm_medium=Search&utm_campaign=EBD114NXT/Propstory/Google2&utm_campaign_code=EBD114NXTPSG2&gclid=CjwKCAjw__ihBhADEiwAXEazJkJR5z_0QUWktK9rhY6MvlPDzvNr1acdzmF7JcRTSdxUBHQ13Q2OxBoCL3IQAvD_BwE)
17:12:24	706196/706196	---M--	200	added ('OK')	image/jpeg	date:Thu,%2015%20Sep%202022%2011:29:16%20GMT	https://www.ebd114nxt.co.in/images/Home-page-2.jpg	C:/My%20Web%20Sites/emmar/www.ebd114nxt.co.in/images/Home-page-2.jpg	(from https://www.ebd114nxt.co.in/?utm_source=Digital&utm_medium=Search&utm_campaign=EBD114NXT/Propstory/Google2&utm_campaign_code=EBD114NXTPSG2&gclid=CjwKCAjw__ihBhADEiwAXEazJkJR5z_0QUWktK9rhY6MvlPDzvNr1acdzmF7JcRTSdxUBHQ13Q2OxBoCL3IQAvD_BwE)
17:12:24	857070/857070	---M--	200	added ('OK')	image/jpeg	date:Thu,%2015%20Sep%202022%2011:29:16%20GMT	https://www.ebd114nxt.co.in/images/Home-page-3.jpg	C:/My%20Web%20Sites/emmar/www.ebd114nxt.co.in/images/Home-page-3.jpg	(from https://www.ebd114nxt.co.in/?utm_source=Digital&utm_medium=Search&utm_campaign=EBD114NXT/Propstory/Google2&utm_campaign_code=EBD114NXTPSG2&gclid=CjwKCAjw__ihBhADEiwAXEazJkJR5z_0QUWktK9rhY6MvlPDzvNr1acdzmF7JcRTSdxUBHQ13Q2OxBoCL3IQAvD_BwE)
